block,reuse_count,rtls_attempts,rtls_landings,asds_attempts,asds_landings,last_update,launches,serial,status,id
3.0,1.0,1.0,1.0,1.0,1.0,"Stored outside at McGregor, partially disassembled (missing engines). ","['5eb87cfeffd86e000604b34d', '5eb87d0cffd86e000604b35a']",B1031,inactive,5e9e28a3f3591829dc3b2646
3.0,0.0,0.0,0.0,0.0,0.0,Stage Expended,['5eb87cfeffd86e000604b34e'],B1030,expended,5e9e28a3f3591878473b2647
3.0,1.0,1.0,1.0,0.0,0.0,"Survived water landing, SpaceX couldn't tug it back to port, so they hired a company to destroy it.  ","['5eb87d01ffd86e000604b350', '5eb87d11ffd86e000604b35f']",B1032,lost,5e9e28a3f3591811f83b2648
3.0,0.0,0.0,0.0,0.0,0.0,Stage Expended,['5eb87d01ffd86e000604b351'],B1034,expended,5e9e28a3f359186f3f3b2649
3.0,1.0,2.0,2.0,0.0,0.0,Retired; permanently displayed at Space Center Houston. ,"['5eb87d03ffd86e000604b352', '5eb87d0effd86e000604b35c']",B1035,inactive,5e9e28a3f3591856803b264a
3.0,1.0,0.0,0.0,1.0,1.0,Broke Up After Successful Water Landing,"['5eb87d05ffd86e000604b354', '5eb87d0fffd86e000604b35d']",B1036,lost,5e9e28a3f3591801cf3b264b
3.0,0.0,0.0,0.0,0.0,0.0,Stage Expended,['5eb87d06ffd86e000604b355'],B1037,expended,5e9e28a4f3591850cc3b264c
4.0,1.0,1.0,1.0,0.0,0.0,Stage Expended,"['5eb87d07ffd86e000604b356', '5eb87d16ffd86e000604b364']",B1039,expended,5e9e28a4f3591884ee3b264d
3.0,1.0,0.0,0.0,1.0,1.0,Stage Expended,"['5eb87d08ffd86e000604b357', '5eb87d14ffd86e000604b361']",B1038,expended,5e9e28a4f359182d843b264e
4.0,1.0,1.0,1.0,0.0,0.0,Stage Expended,"['5eb87d09ffd86e000604b358', '5eb87d1bffd86e000604b368']",B1040,expended,5e9e28a4f3591845123b264f
4.0,1.0,0.0,0.0,1.0,1.0,Stage Expended,"['5eb87d0affd86e000604b359', '5eb87d16ffd86e000604b363']",B1041,expended,5e9e28a4f3591843103b2650
4.0,0.0,0.0,0.0,1.0,1.0,Retired. ,['5eb87d0dffd86e000604b35b'],B1042,inactive,5e9e28a4f359185cc03b2651
4.0,1.0,1.0,1.0,0.0,0.0,Stage Expended,"['5eb87d10ffd86e000604b35e', '5eb87d1affd86e000604b367']",B1043,expended,5e9e28a4f35918345e3b2652
3.0,0.0,0.0,0.0,0.0,0.0,"Two of the outer engines didn't re-ignite for the landing burn, ran out of TEA/TEB igniters. ",['5eb87d13ffd86e000604b360'],B1033,lost,5e9e28a5f359187f703b2653
4.0,0.0,0.0,0.0,0.0,0.0,Stage Expended,['5eb87d15ffd86e000604b362'],B1044,expended,5e9e28a5f359186cb73b2654
4.0,1.0,0.0,0.0,1.0,1.0,Stage Expended,"['5eb87d18ffd86e000604b365', '5eb87d1cffd86e000604b369']",B1045,expended,5e9e28a5f35918863d3b2655
5.0,3.0,0.0,0.0,3.0,3.0,Stage Expended,"['5eb87d19ffd86e000604b366', '5eb87d20ffd86e000604b36c', '5eb87d25ffd86e000604b370', '5eb87d3dffd86e000604b381']",B1046,expended,5e9e28a5f359182b023b2656
5.0,2.0,0.0,0.0,2.0,2.0,Stage Expended,"['5eb87d1effd86e000604b36a', '5eb87d24ffd86e000604b36f', '5eb87d37ffd86e000604b37c']",B1047,expended,5e9e28a5f359181eed3b2657
5.0,4.0,1.0,1.0,3.0,3.0,Landing burn not performed after premature engine shutdown during ascent,"['5eb87d1fffd86e000604b36b', '5eb87d23ffd86e000604b36e', '5eb87d2affd86e000604b374', '5eb87d39ffd86e000604b37d', '5eb87d43ffd86e000604b385']",B1048,lost,5e9e28a5f3591809c03b2658
5.0,9.0,0.0,0.0,10.0,10.0,Stage Expended,"['5eb87d22ffd86e000604b36d', '5eb87d28ffd86e000604b373', '5eb87d30ffd86e000604b378', '5eb87d3cffd86e000604b380', '5eb87d45ffd86e000604b387', '5ed981d91f30554030d45c2a', '5fb95b3f3a88ae63c954603c', '5fbfecfe54ceb10a5664c80b', '605b4b7daa5433645e37d040', '60e3bf0d73359e1e20335c37']",B1049,expended,5e9e28a5f3591833b13b2659
5.0,0.0,1.0,0.0,0.0,0.0,Towed to Port of Canaveral; cannibalized for parts to build Starhopper. ,['5eb87d26ffd86e000604b371'],B1050,inactive,5e9e28a6f359185c603b265a
5.0,0.0,0.0,0.0,0.0,0.0,Stage Expended,['5eb87d27ffd86e000604b372'],B1054,expended,5e9e28a6f35918513b3b265b
